configuration_id,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,min_coefficient,max_coefficient,positive_fold_count,negative_fold_count,zero_fold_count,sign_consistency,selection_frequency,stability_ratio
LR-SELECTED-AP,var_31,-0.08706884831190109,0.005553571762475491,0.08706884831190109,-0.09792119264602661,-0.08287669718265533,0,5,0,1.0,1.0,15.677991036364476
LR-SELECTED-AP,var_32,0.0991070345044136,0.0027708481305868163,0.0991070345044136,0.09363099932670593,0.1012377068400383,5,0,0,1.0,1.0,35.76776128954298
LR-SELECTED-AP,var_33,-0.15391547083854676,0.005167010297166719,0.15391547083854676,-0.16264328360557556,-0.14849883317947388,0,5,0,1.0,1.0,29.788109948791515
LR-SELECTED-AP,var_34,-0.18497763872146605,0.004405657177882428,0.18497763872146605,-0.19064512848854065,-0.18089598417282104,0,5,0,1.0,1.0,41.98638960155451
LR-SELECTED-AP,var_35,0.12134134918451309,0.004700119187455394,0.12134134918451309,0.11501388251781464,0.1280580759048462,5,0,0,1.0,1.0,25.816653651755704
LR-SELECTED-AP,var_36,-0.1261248007416725,0.004734932728224529,0.1261248007416725,-0.13425347208976746,-0.12068130075931549,0,5,0,1.0,1.0,26.637083984287134
LR-SELECTED-AP,var_37,0.0294781357049942,0.005878703263900235,0.0294781357049942,0.021066512912511826,0.037246719002723694,5,0,0,1.0,1.0,5.014394226361372
LR-SELECTED-AP,var_38,0.010534361936151981,0.0008725374343698192,0.010534361936151981,0.009687282145023346,0.012091167271137238,5,0,0,1.0,1.0,12.073249262660724
LR-SELECTED-AP,var_39,-0.02025083601474762,0.004271700902513725,0.02025083601474762,-0.028544191271066666,-0.01629500836133957,0,5,0,1.0,1.0,4.740696148185319
LR-SELECTED-AP,var_40,0.16761671304702758,0.00577051658950995,0.16761671304702758,0.16014105081558228,0.17369067668914795,5,0,0,1.0,1.0,29.047089709737
LR-SELECTED-AP,var_41,-0.000888580217724666,0.004593966770126048,0.003711546544218436,-0.00829662848263979,0.005340656265616417,3,2,0,0.6,1.0,0.1934233010789154
LR-SELECTED-AP,var_42,-0.029701485112309457,0.0065405137369717245,0.029701485112309457,-0.03672059252858162,-0.018056707456707954,0,5,0,1.0,1.0,4.541154763488092
LR-SELECTED-AP,var_43,-0.09486987888813019,0.0031726572951088416,0.09486987888813019,-0.0996643602848053,-0.09101258218288422,0,5,0,1.0,1.0,29.90234055042145
LR-SELECTED-AP,var_44,-0.1655445873737335,0.003472103979582125,0.1655445873737335,-0.17043259739875793,-0.16168221831321716,0,5,0,1.0,1.0,47.67846480036769
LR-SELECTED-AP,var_45,-0.07426538318395615,0.004679466751859811,0.07426538318395615,-0.07948651909828186,-0.06752254068851471,0,5,0,1.0,1.0,15.870479933303626
LR-SELECTED-AP,var_46,0.011943758046254516,0.005774634719296477,0.011943758046254516,0.0038266463670879602,0.01897374354302883,5,0,0,1.0,1.0,2.06831403661653
LR-SELECTED-AP,var_47,0.03199918679893017,0.003089133922432359,0.03199918679893017,0.026577316224575043,0.03549928963184357,5,0,0,1.0,1.0,10.35862724065131
LR-SELECTED-AP,var_48,0.10289388298988342,0.004901120464890217,0.10289388298988342,0.09749650955200195,0.11212896555662155,5,0,0,1.0,1.0,20.993951021398438
